MongoDB shell version: 2.0.2
connecting to: localhost:27017/ingestion_batch_job
1,A1-job-key,22Aug2012-14-0-MediumSampleDataSet.zip,22Aug2012-14-5-MediumSampleDataSet.zip,22Aug2012-14-9-MediumSampleDataSet.zip,22Aug2012-14-14-MediumSampleDataSet.zip
0,Avg-b2-stage-TransformationProcessor-studentCompetencyObjective-recordCount,1,1,1,1
1,Avg-b2-stage-TransformationProcessor-studentDisciplineIncidentAssociation-elapsedTime,8,6,5,5
1,Avg-b2-stage-TransformationProcessor-studentDisciplineIncidentAssociation-recordCount,435,489,495,490
1,Avg-b2-stage-TransformationProcessor-studentGradebookEntry-elapsedTime,3,5,4,5
0,Avg-b2-stage-TransformationProcessor-studentGradebookEntry-recordCount,500,500,500,500
1,Avg-b2-stage-TransformationProcessor-studentObjectiveAssessment-elapsedTime,2,3,13,5
1,Avg-b2-stage-TransformationProcessor-studentObjectiveAssessment-recordCount,575,524,537,512
1,Avg-b2-stage-TransformationProcessor-studentParentAssociation-elapsedTime,3,4,3,4
1,Avg-b2-stage-TransformationProcessor-studentParentAssociation-recordCount,386,413,395,403
1,Avg-b2-stage-TransformationProcessor-studentProgramAssociation-elapsedTime,4,5,5,9
1,Avg-b2-stage-TransformationProcessor-studentProgramAssociation-recordCount,534,534,548,530
1,Avg-b2-stage-TransformationProcessor-studentSchoolAssociation-elapsedTime,5,4,4,5
0,Avg-b2-stage-TransformationProcessor-studentSchoolAssociation-recordCount,500,500,500,500
1,Avg-b2-stage-TransformationProcessor-studentSectionAssociation-elapsedTime,5,6,6,6
1,Avg-b2-stage-TransformationProcessor-studentSectionAssociation-recordCount,314,438,526,539
1,Avg-b2-stage-TransformationProcessor-studentTranscriptAssociation-elapsedTime,87,72,92,85
1,Avg-b2-stage-TransformationProcessor-studentTranscriptAssociation-recordCount,338,379,494,486
1,Avg-b2-stage-TransformationProcessor-teacher-elapsedTime,3,2,2,2
0,Avg-b2-stage-TransformationProcessor-teacher-recordCount,50,50,50,50
0,Avg-b2-stage-TransformationProcessor-teacherSchoolAssociation-elapsedTime,2,2,2,2
0,Avg-b2-stage-TransformationProcessor-teacherSchoolAssociation-recordCount,50,50,50,50
1,Avg-b2-stage-TransformationProcessor-teacherSectionAssociation-elapsedTime,5,5,4,4
0,Avg-b2-stage-TransformationProcessor-teacherSectionAssociation-recordCount,300,300,300,300
1,Avg-c1-mongo-is-UNKNOWN-readcount,1401,1340,1335,1333
1,Avg-c1-mongo-is-UNKNOWN-readtime,1,1,130,2
0,Avg-c1-mongo-is-assessment-readcount,64,64,64,64
1,Avg-c1-mongo-is-assessment-readtime,36,37,25,28
0,Avg-c1-mongo-is-assessment-writecount,2,2,2,2
1,Avg-c1-mongo-is-assessment-writetime,2,3,2,7
0,Avg-c1-mongo-is-assessmentFamily-readcount,46,46,46,46
1,Avg-c1-mongo-is-assessmentFamily-readtime,9,9,11,23
0,Avg-c1-mongo-is-assessmentFamily-writecount,1,1,1,1
1,Avg-c1-mongo-is-assessmentFamily-writetime,0,2,1,1
0,Avg-c1-mongo-is-assessmentItem-readcount,45,45,45,45
1,Avg-c1-mongo-is-assessmentItem-readtime,3,11,8,18
0,Avg-c1-mongo-is-assessmentItem-writecount,1,1,1,1
0,Avg-c1-mongo-is-assessmentItem-writetime,1,1,1,1
0,Avg-c1-mongo-is-assessmentPeriodDescriptor-readcount,64,64,64,64
1,Avg-c1-mongo-is-assessmentPeriodDescriptor-readtime,11,14,14,25
0,Avg-c1-mongo-is-assessmentPeriodDescriptor-writecount,1,1,1,1
0,Avg-c1-mongo-is-assessmentPeriodDescriptor-writetime,0,0,1,1
0,Avg-c1-mongo-is-assessment_transformed-readcount,1,1,1,1
1,Avg-c1-mongo-is-assessment_transformed-readtime,1,0,1,1
1,Avg-c1-mongo-is-attendance-readcount,2751084,2784418,2810966,4321484
1,Avg-c1-mongo-is-attendance-readtime,176886931,120734447,136346763,275263057
0,Avg-c1-mongo-is-attendance-writecount,501,501,501,501
1,Avg-c1-mongo-is-attendance-writetime,549,500,466,547
0,Avg-c1-mongo-is-attendance_transformed-readcount,1,1,1,1
1,Avg-c1-mongo-is-attendance_transformed-readtime,1,0,1,1
0,Avg-c1-mongo-is-calendarDate-readcount,54,54,54,54
1,Avg-c1-mongo-is-calendarDate-readtime,6,29,24,24
0,Avg-c1-mongo-is-calendarDate-writecount,1,1,1,1
1,Avg-c1-mongo-is-calendarDate-writetime,4,3,7,16
0,Avg-c1-mongo-is-cohort-readcount,45,45,45,45
1,Avg-c1-mongo-is-cohort-readtime,9,9,145,20
0,Avg-c1-mongo-is-cohort-writecount,1,1,1,1
1,Avg-c1-mongo-is-cohort-writetime,3,4,253,67
0,Avg-c1-mongo-is-competencyLevelDescriptor-readcount,1,1,1,1
0,Avg-c1-mongo-is-competencyLevelDescriptor-readtime,1,1,1,1
1,Avg-c1-mongo-is-course-readcount,45,45,37,45
1,Avg-c1-mongo-is-course-readtime,24,15,18,24
0,Avg-c1-mongo-is-course-writecount,1,1,1,1
1,Avg-c1-mongo-is-course-writetime,6,10,10,18
0,Avg-c1-mongo-is-courseOffering-readcount,45,45,45,45
1,Avg-c1-mongo-is-courseOffering-readtime,8,13,18,27
0,Avg-c1-mongo-is-courseOffering-writecount,1,1,1,1
1,Avg-c1-mongo-is-courseOffering-writetime,7,14,9,46
1,Avg-c1-mongo-is-disciplineAction-readcount,17653,15465,14931,15468
1,Avg-c1-mongo-is-disciplineAction-readtime,202602,208466,297168,568766
0,Avg-c1-mongo-is-disciplineAction-writecount,2,2,2,2
1,Avg-c1-mongo-is-disciplineAction-writetime,515,394,738,494
1,Avg-c1-mongo-is-disciplineIncident-readcount,1631,1508,1515,1494
1,Avg-c1-mongo-is-disciplineIncident-readtime,200401,372313,222664,285163
0,Avg-c1-mongo-is-disciplineIncident-writecount,1,1,1,1
1,Avg-c1-mongo-is-disciplineIncident-writetime,380,496,434,584
0,Avg-c1-mongo-is-educationOrganization-readcount,1,1,1,1
0,Avg-c1-mongo-is-educationOrganization-readtime,0,0,1,1
0,Avg-c1-mongo-is-educationOrganizationAssociation-readcount,1,1,1,1
0,Avg-c1-mongo-is-educationOrganizationAssociation-readtime,0,0,1,1
0,Avg-c1-mongo-is-educationOrganizationSchoolAssociation-readcount,1,1,1,1
0,Avg-c1-mongo-is-educationOrganizationSchoolAssociation-readtime,0,0,1,1
1,Avg-c1-mongo-is-grade-readcount,3760,2603,4410,3483
1,Avg-c1-mongo-is-grade-readtime,17611,142221,20582,41660
0,Avg-c1-mongo-is-grade-writecount,2,2,2,2
1,Avg-c1-mongo-is-grade-writetime,135,108,137,156
0,Avg-c1-mongo-is-gradebookEntry-readcount,54,54,54,54
1,Avg-c1-mongo-is-gradebookEntry-readtime,20,21,13,25
0,Avg-c1-mongo-is-gradebookEntry-writecount,1,1,1,1
1,Avg-c1-mongo-is-gradebookEntry-writetime,1,0,2,2
0,Avg-c1-mongo-is-gradingPeriod-readcount,54,54,54,54
1,Avg-c1-mongo-is-gradingPeriod-readtime,23,28,30,42
0,Avg-c1-mongo-is-gradingPeriod-writecount,1,1,1,1
1,Avg-c1-mongo-is-gradingPeriod-writetime,3,3,4,6
0,Avg-c1-mongo-is-graduationPlan-readcount,45,45,45,45
1,Avg-c1-mongo-is-graduationPlan-readtime,1,23,17,18
0,Avg-c1-mongo-is-graduationPlan-writecount,1,1,1,1
1,Avg-c1-mongo-is-graduationPlan-writetime,0,1,1,2
0,Avg-c1-mongo-is-learningObjective-readcount,64,64,64,64
1,Avg-c1-mongo-is-learningObjective-readtime,47,15,9,22
0,Avg-c1-mongo-is-learningObjective-writecount,2,2,2,2
1,Avg-c1-mongo-is-learningObjective-writetime,3,72,4,25
0,Avg-c1-mongo-is-learningObjective_transformed-readcount,1,1,1,1
0,Avg-c1-mongo-is-learningObjective_transformed-readtime,0,1,1,1
0,Avg-c1-mongo-is-learningStandard-readcount,45,45,45,45
1,Avg-c1-mongo-is-learningStandard-readtime,17,9,16,16
0,Avg-c1-mongo-is-learningStandard-writecount,1,1,1,1
1,Avg-c1-mongo-is-learningStandard-writetime,0,1,1,21
1,Avg-c1-mongo-is-localEducationAgency-readcount,54,54,44,54
1,Avg-c1-mongo-is-localEducationAgency-readtime,16,4,7,38
0,Avg-c1-mongo-is-localEducationAgency-writecount,1,1,1,1
1,Avg-c1-mongo-is-localEducationAgency-writetime,0,2,1,1
1,Avg-c1-mongo-is-objectiveAssessment-readcount,64,64,64,66
1,Avg-c1-mongo-is-objectiveAssessment-readtime,21,11,7,38
0,Avg-c1-mongo-is-objectiveAssessment-writecount,1,1,1,1
1,Avg-c1-mongo-is-objectiveAssessment-writetime,1,64,1,3
1,Avg-c1-mongo-is-parent-readcount,613,613,614,614
1,Avg-c1-mongo-is-parent-readtime,13513,15587,14197,12968
0,Avg-c1-mongo-is-parent-writecount,1,1,1,1
1,Avg-c1-mongo-is-parent-writetime,136,111,130,135
1,Avg-c1-mongo-is-program-readcount,45,45,37,45
1,Avg-c1-mongo-is-program-readtime,3,12,20,23
0,Avg-c1-mongo-is-program-writecount,1,1,1,1
1,Avg-c1-mongo-is-program-writetime,1,2,2,2
0,Avg-c1-mongo-is-reportCard-readcount,45,45,45,45
1,Avg-c1-mongo-is-reportCard-readtime,465,515,717,1331
0,Avg-c1-mongo-is-reportCard-writecount,1,1,1,1
1,Avg-c1-mongo-is-reportCard-writetime,48,31,62,43
1,Avg-c1-mongo-is-school-readcount,10254,10254,9200,10238
1,Avg-c1-mongo-is-school-readtime,3330,3134,3041,4831
0,Avg-c1-mongo-is-school-writecount,1,1,1,1
1,Avg-c1-mongo-is-school-writetime,0,2,1,2
0,Avg-c1-mongo-is-section-readcount,54,54,54,54
1,Avg-c1-mongo-is-section-readtime,68,66,101,200
0,Avg-c1-mongo-is-section-writecount,1,1,1,1
1,Avg-c1-mongo-is-section-writetime,15,20,15,33
0,Avg-c1-mongo-is-sectionAssessmentAssociation-readcount,1,1,1,1
0,Avg-c1-mongo-is-sectionAssessmentAssociation-readtime,0,0,1,1
0,Avg-c1-mongo-is-sectionSchoolAssociation-readcount,1,1,1,1
0,Avg-c1-mongo-is-sectionSchoolAssociation-readtime,0,0,1,1
1,Avg-c1-mongo-is-session-readcount,10254,10254,9210,10238
1,Avg-c1-mongo-is-session-readtime,3866,3714,3384,5994
0,Avg-c1-mongo-is-session-writecount,1,1,1,1
1,Avg-c1-mongo-is-session-writetime,1,1,2,6
0,Avg-c1-mongo-is-sessionCourseAssociation-readcount,1,1,1,1
0,Avg-c1-mongo-is-sessionCourseAssociation-readtime,0,0,1,1
0,Avg-c1-mongo-is-staff-readcount,54,54,54,54
1,Avg-c1-mongo-is-staff-readtime,26,17,78,33
0,Avg-c1-mongo-is-staff-writecount,1,1,1,1
1,Avg-c1-mongo-is-staff-writetime,1,1,1,35
0,Avg-c1-mongo-is-staffCohortAssociation-readcount,45,45,45,45
1,Avg-c1-mongo-is-staffCohortAssociation-readtime,3,20,12,21
0,Avg-c1-mongo-is-staffCohortAssociation-writecount,1,1,1,1
1,Avg-c1-mongo-is-staffCohortAssociation-writetime,2,3,34,6
0,Avg-c1-mongo-is-staffEducationOrganizationAssociation-readcount,45,45,45,45
1,Avg-c1-mongo-is-staffEducationOrganizationAssociation-readtime,1,18,18,24
0,Avg-c1-mongo-is-staffEducationOrganizationAssociation-writecount,1,1,1,1
1,Avg-c1-mongo-is-staffEducationOrganizationAssociation-writetime,4,1,1,4
0,Avg-c1-mongo-is-staffProgramAssociation-readcount,54,54,54,54
1,Avg-c1-mongo-is-staffProgramAssociation-readtime,17,21,13,21
0,Avg-c1-mongo-is-staffProgramAssociation-writecount,1,1,1,1
1,Avg-c1-mongo-is-staffProgramAssociation-writetime,1,1,2,3
1,Avg-c1-mongo-is-stateEducationAgency-readcount,45,45,37,45
1,Avg-c1-mongo-is-stateEducationAgency-readtime,7,8,8,11
0,Avg-c1-mongo-is-stateEducationAgency-writecount,1,1,1,1
0,Avg-c1-mongo-is-stateEducationAgency-writetime,1,1,1,1
0,Avg-c1-mongo-is-student-readcount,54,54,54,54
1,Avg-c1-mongo-is-student-readtime,1690,1661,8223,6473
0,Avg-c1-mongo-is-student-writecount,1,1,1,1
1,Avg-c1-mongo-is-student-writetime,147,141,143,180
0,Avg-c1-mongo-is-studentAcademicRecord-readcount,54,54,54,54
1,Avg-c1-mongo-is-studentAcademicRecord-readtime,109,125,1121,1003
0,Avg-c1-mongo-is-studentAcademicRecord-writecount,1,1,1,1
1,Avg-c1-mongo-is-studentAcademicRecord-writetime,98,21,62,49
1,Avg-c1-mongo-is-studentAssessmentAssociation-readcount,4465,3848,4316,3574
1,Avg-c1-mongo-is-studentAssessmentAssociation-readtime,191227,262895,197083,258848
1,Avg-c1-mongo-is-studentAssessmentAssociation-writecount,7,7,7,6
1,Avg-c1-mongo-is-studentAssessmentAssociation-writetime,507,402,589,463
0,Avg-c1-mongo-is-studentAssessmentAssociation_transformed-readcount,1,1,1,1
1,Avg-c1-mongo-is-studentAssessmentAssociation_transformed-readtime,1,0,1,1
0,Avg-c1-mongo-is-studentAssessmentItem-readcount,42505,42505,42505,42505
1,Avg-c1-mongo-is-studentAssessmentItem-readtime,10954,12351,20887,99750
0,Avg-c1-mongo-is-studentAssessmentItem-writecount,1,1,1,1
1,Avg-c1-mongo-is-studentAssessmentItem-writetime,44,57,79,57
1,Avg-c1-mongo-is-studentCohortAssociation-readcount,253,285,294,277
1,Avg-c1-mongo-is-studentCohortAssociation-readtime,5800,8582,8894,20276
0,Avg-c1-mongo-is-studentCohortAssociation-writecount,1,1,1,1
1,Avg-c1-mongo-is-studentCohortAssociation-writetime,100,143,113,97
1,Avg-c1-mongo-is-studentCompetency-readcount,668,614,636,614
1,Avg-c1-mongo-is-studentCompetency-readtime,2630,2629,2733,5175
0,Avg-c1-mongo-is-studentCompetency-writecount,1,1,1,1
1,Avg-c1-mongo-is-studentCompetency-writetime,56,40,53,53
0,Avg-c1-mongo-is-studentCompetencyObjective-readcount,45,45,45,45
1,Avg-c1-mongo-is-studentCompetencyObjective-readtime,6,17,18,22
0,Avg-c1-mongo-is-studentCompetencyObjective-writecount,1,1,1,1
1,Avg-c1-mongo-is-studentCompetencyObjective-writetime,10,1,16,4
1,Avg-c1-mongo-is-studentDisciplineIncidentAssociation-readcount,1578,1578,1557,1542
